Person_ID,Age,Gender,Dominant Emotion,Recent Thought,Dream Type,Hours of Sleep,Meditation Frequency,Screen Time (hrs/day),Music Preference,Brain Activity Level (%),Focus Level (%),Creativity Score (1-10),Anxiety Level (1-10),Happiness Index (1-10),Decision-Making Speed (sec),Daydreaming Frequency,Stress Triggers,AI Interaction Level,Philosophical Thinking (%),Caffeine Consumption (mg/day),Social Interaction Level,Most Active Brain Hemisphere,Sleep Quality,Random_Noise
9512,61,Male,Happy,Work stress,Lucid,10,Never,8,Lo-fi,54,89,6,6,7,2,Medium,Finance,High,24,-50,Extrovert,Right,Poor,667
7488,42,Non-binary,Angry,Focused mode,Nightmare,3,Daily,1,Classical,68,23,1,4,9,3,Medium,Work,Low,43,-50,Introvert,Right,Good,316
4957,66,Female,Anxious,Existential crisis,Abstract,9,Weekly,8,Metal,65,33,10,2,8,7,Medium,Finance,Medium,89,300,Extrovert,Left,Poor,977
3724,44,Male,Angry,Existential crisis,Abstract,6,Daily,2,Metal,57,64,6,3,6,10,High,Finance,Low,13,50,Extrovert,Balanced,Poor,167
1844,59,Male,Anxious,Existential crisis,Lucid,6,Weekly,6,Classical,27,24,9,2,7,12,High,Relationships,Medium,81,0,Extrovert,Balanced,Poor,963
9733,45,Female,Angry,Focused mode,Abstract,8,Daily,1,Lo-fi,73,92,2,5,9,1,High,Health,Medium,88,300,Ambivert,Balanced,Good,655
2473,33,Female,Anxious,Focused mode,Forgotten,5,Weekly,5,Classical,56,81,6,6,6,7,Medium,Social Media,Medium,37,-50,Ambivert,Left,Good,242
8293,32,Female,Sad,Work stress,Nightmare,6,Never,7,Rock,59,43,2,5,1,6,Medium,Finance,High,82,0,Extrovert,Right,Poor,445
5971,64,Non-binary,Angry,Random nostalgia,Abstract,9,Never,10,Metal,53,11,4,2,4,8,High,Social Media,Medium,11,-50,Extrovert,Right,Good,653
6526,68,Non-binary,Anxious,Existential crisis,Forgotten,3,Daily,1,Rock,98,36,8,5,8,7,High,Relationships,Low,26,200,Introvert,Balanced,Poor,750
6879,61,Male,Excited,Random nostalgia,Lucid,5,Weekly,2,Metal,36,83,7,9,7,4,Medium,Work,Medium,67,-50,Extrovert,Balanced,Average,684
3076,69,Female,Angry,Focused mode,Forgotten,10,Weekly,7,Metal,52,96,9,4,3,3,Low,Finance,Low,83,300,Introvert,Right,Good,878
5476,20,Male,Happy,Focused mode,Lucid,4,Daily,6,Pop,66,81,7,10,10,3,High,Health,Medium,18,200,Ambivert,Balanced,Good,293
2809,54,Male,Happy,Focused mode,Lucid,10,Weekly,3,Rock,71,32,1,2,3,4,High,Relationships,Medium,40,300,Extrovert,Balanced,Average,766
5700,68,Male,Happy,Random nostalgia,Nightmare,9,Daily,10,Rock,99,77,2,3,3,9,High,Social Media,High,75,50,Introvert,Right,Average,345
9861,24,Male,Anxious,Focused mode,Nightmare,9,Weekly,2,Pop,28,23,6,3,1,9,Medium,Work,Low,71,-50,Ambivert,Balanced,Average,413
7161,38,Female,Sad,Work stress,Forgotten,6,Daily,10,Lo-fi,52,72,7,9,10,13,High,Social Media,Medium,28,500,Introvert,Balanced,Poor,829
5160,26,Male,Angry,Focused mode,Nightmare,5,Weekly,4,Rock,79,74,3,4,1,2,High,Health,Medium,90,100,Ambivert,Left,Poor,483
1591,56,Female,Angry,Creativity burst,Nightmare,3,Daily,3,Classical,96,77,9,1,6,5,High,Finance,Low,83,500,Extrovert,Balanced,Average,864
6074,35,Female,Happy,Random nostalgia,Nightmare,10,Weekly,7,Pop,40,72,7,1,1,1,High,Health,Medium,64,100,Introvert,Left,Poor,888
6060,21,Non-binary,Angry,Creativity burst,Forgotten,8,Never,8,Rock,77,99,6,7,5,4,High,Social Media,High,37,500,Extrovert,Right,Good,376
5115,42,Female,Sad,Focused mode,Abstract,10,Weekly,2,Lo-fi,88,90,6,7,4,2,Low,Social Media,Low,59,0,Introvert,Left,Average,171
5500,31,Non-binary,Angry,Work stress,Nightmare,7,Daily,10,Rock,29,96,1,2,5,8,Low,Health,High,74,400,Ambivert,Right,Good,228
1890,67,Female,Sad,Existential crisis,Nightmare,7,Never,7,Metal,25,73,5,9,7,4,High,Health,Low,12,300,Introvert,Left,Poor,457
8403,26,Female,Excited,Focused mode,Forgotten,3,Weekly,8,Classical,32,41,10,9,6,5,High,Health,Low,88,200,Introvert,Left,Average,797
1986,43,Female,Happy,Work stress,Abstract,3,Never,6,Pop,84,88,3,5,9,11,High,Work,Low,61,400,Extrovert,Left,Poor,624
5547,19,Non-binary,,Random nostalgia,Nightmare,7,Weekly,6,Metal,39,22,7,3,6,4,High,Social Media,Medium,19,50,Extrovert,Balanced,Good,940
8451,37,Non-binary,Angry,Creativity burst,Lucid,8,Never,10,Lo-fi,76,75,10,3,9,5,Medium,Relationships,Low,30,50,Extrovert,Balanced,Poor,319
4470,45,Male,Excited,Creativity burst,Forgotten,5,Daily,1,Metal,65,28,3,3,4,5,Medium,Work,Low,46,50,Ambivert,Balanced,Good,105
2554,64,Non-binary,Anxious,Creativity burst,Nightmare,7,Weekly,4,Metal,27,33,5,6,1,5,Medium,Work,Low,24,100,Extrovert,Balanced,Poor,850
8659,24,Non-binary,Anxious,Random nostalgia,Nightmare,3,Weekly,1,Lo-fi,29,97,7,4,1,11,Low,Work,High,87,200,Introvert,Balanced,Good,723
4252,61,Non-binary,Anxious,Work stress,Lucid,6,Daily,4,Metal,92,20,3,8,10,3,High,Relationships,Low,88,50,Ambivert,Left,Poor,327
7411,25,Non-binary,Angry,Random nostalgia,Lucid,4,Never,2,Pop,86,68,10,5,7,7,Medium,Health,Medium,83,50,Extrovert,Balanced,Average,116
6358,64,Male,Angry,Creativity burst,Forgotten,8,Daily,5,Rock,30,95,2,1,3,3,High,Social Media,Low,18,500,Introvert,Right,Average,684
6035,52,Non-binary,Angry,Focused mode,Forgotten,9,Daily,10,Metal,31,24,6,9,2,2,High,Finance,Low,53,0,Introvert,Left,Poor,111
2401,31,Female,Angry,Existential crisis,Lucid,8,Never,9,Pop,29,19,8,1,,3,Low,Finance,High,48,300,Ambivert,Left,Good,697
3182,34,Female,Happy,Random nostalgia,Forgotten,6,Daily,10,Rock,44,50,4,6,6,11,Low,Social Media,Medium,14,300,Introvert,Right,Poor,598
9703,53,Non-binary,Sad,Random nostalgia,Lucid,6,Weekly,3,Rock,68,36,9,1,7,3,Medium,Relationships,Medium,34,-50,Extrovert,Balanced,Average,791
8804,67,Non-binary,Anxious,Work stress,Nightmare,9,Weekly,8,Metal,68,69,8,3,5,8,Medium,Finance,Medium,65,300,Introvert,Right,Good,733
7215,57,Female,Angry,Work stress,Lucid,10,Weekly,3,Pop,30,82,7,10,8,4,Low,Work,Low,73,400,Extrovert,Left,Poor,815
5368,21,Female,Anxious,Random nostalgia,Lucid,3,Daily,6,Metal,81,61,7,5,7,3,Low,Finance,Low,81,500,Extrovert,Left,Poor,601
2920,19,Male,Anxious,Creativity burst,Abstract,7,Weekly,4,Lo-fi,55,37,3,10,2,10,High,Social Media,Medium,61,500,Ambivert,Left,Good,169
4256,23,Female,,Existential crisis,Lucid,10,Weekly,8,Rock,58,74,6,7,,5,High,Work,Medium,85,0,Introvert,Right,Poor,207
1179,59,Female,Sad,Work stress,Lucid,5,Weekly,6,Metal,72,26,5,10,9,4,Medium,Finance,High,18,100,Ambivert,Balanced,Average,300
4826,21,Non-binary,Sad,Creativity burst,Abstract,8,Weekly,8,Rock,97,53,1,8,5,9,Medium,Social Media,Medium,19,400,Ambivert,Left,Average,151
3470,46,Female,Sad,Focused mode,Forgotten,9,Weekly,1,Pop,75,19,3,9,5,8,Low,Relationships,Low,19,0,Ambivert,Balanced,Good,648
2027,35,Male,Angry,Work stress,Abstract,8,Weekly,6,Classical,20,72,1,6,10,11,Medium,Social Media,Low,82,50,Extrovert,Left,Poor,728
6690,43,Female,Excited,Creativity burst,Nightmare,10,Daily,1,Metal,75,91,4,9,4,7,High,Relationships,Low,71,200,Extrovert,Balanced,Poor,358
2868,61,Non-binary,Sad,Creativity burst,Abstract,6,Weekly,1,Metal,23,56,10,8,2,8,Low,Work,High,69,400,Extrovert,Right,Average,581
2797,51,Non-binary,Anxious,Existential crisis,Nightmare,7,Weekly,8,Rock,49,47,3,9,5,13,High,Social Media,Medium,28,400,Extrovert,Left,Good,363
3479,27,Female,Angry,Existential crisis,Forgotten,8,Never,7,Pop,31,79,4,10,2,5,Low,Health,Low,47,50,Introvert,Left,Good,402
7402,53,Non-binary,Anxious,Focused mode,Abstract,5,Daily,3,Lo-fi,54,85,9,4,7,4,Low,Health,High,15,50,Introvert,Left,Good,675
6049,31,Male,Anxious,Creativity burst,Abstract,6,Daily,6,Pop,96,62,3,9,9,7,High,Health,High,24,200,Extrovert,Right,Average,653
6955,48,Male,Sad,Creativity burst,Forgotten,5,Daily,9,Metal,71,87,6,7,,1,Medium,Health,Low,56,300,Extrovert,Right,Average,654
6663,65,Female,Angry,Existential crisis,Nightmare,7,Daily,7,Lo-fi,50,53,6,5,6,6,Medium,Health,High,54,400,Introvert,Balanced,Good,224
7273,32,Female,Angry,Work stress,Abstract,8,Weekly,3,Pop,87,83,7,5,1,8,Medium,Relationships,High,14,0,Ambivert,Right,Good,369
5328,25,Female,Happy,Work stress,Nightmare,4,Weekly,6,Classical,71,63,9,1,6,7,Medium,Social Media,Low,87,100,Ambivert,Left,Poor,958
2647,31,Non-binary,Angry,Random nostalgia,Abstract,10,Never,4,Rock,99,29,7,2,5,2,High,Work,High,62,50,Extrovert,Balanced,Poor,844
1341,40,Male,Happy,Existential crisis,Lucid,8,Never,3,Pop,26,88,1,10,4,14,Low,Health,Low,75,50,Ambivert,Right,Good,579
1517,57,Male,Angry,Random nostalgia,Abstract,10,Daily,9,Pop,41,40,8,3,6,13,High,Health,Low,71,100,Extrovert,Balanced,Average,231
9203,38,Non-binary,Angry,Existential crisis,Forgotten,7,Never,10,Classical,94,16,5,8,6,14,Medium,Work,High,32,0,Extrovert,Balanced,Average,101
5115,33,Male,Angry,Focused mode,Forgotten,8,Never,2,Metal,75,67,9,6,6,7,Medium,Work,Low,53,-50,Extrovert,Balanced,Poor,214
5017,62,Female,Anxious,Creativity burst,Nightmare,10,Daily,1,Rock,77,19,10,10,2,13,High,Health,Low,61,50,Introvert,Left,Good,580
8486,35,Female,Happy,Focused mode,Abstract,9,Daily,2,Pop,83,19,5,5,7,6,Low,Relationships,Medium,55,100,Ambivert,Left,Average,100
1341,64,Female,Anxious,Existential crisis,Nightmare,10,Never,7,Lo-fi,31,48,5,1,4,13,High,Work,Low,28,500,Introvert,Right,Average,430
9703,41,Male,Sad,Creativity burst,Nightmare,8,Weekly,10,Pop,26,37,2,9,9,5,High,Social Media,Medium,56,50,Ambivert,Left,Average,676
7046,43,Female,Sad,Work stress,Lucid,3,Never,1,Rock,74,39,3,3,10,4,High,Social Media,Medium,61,300,Introvert,Balanced,Average,736
2980,42,Non-binary,Excited,Work stress,Lucid,8,Never,6,Pop,81,46,10,3,2,1,Low,Relationships,Medium,33,300,Introvert,Balanced,Poor,867
2841,62,Non-binary,Happy,Random nostalgia,Forgotten,8,Weekly,7,Classical,92,76,9,2,5,13,High,Finance,Medium,26,50,Extrovert,Left,Average,490
7337,58,Male,Angry,Existential crisis,Nightmare,10,Weekly,9,Pop,96,52,7,4,4,2,High,Relationships,High,55,500,Extrovert,Balanced,Average,933
3049,46,Non-binary,Angry,Existential crisis,Forgotten,5,Daily,8,Pop,74,88,1,2,9,7,Medium,Health,High,73,50,Introvert,Left,Good,242
4007,32,Non-binary,Sad,Work stress,Abstract,4,Daily,6,Lo-fi,55,94,3,9,4,10,High,Finance,Low,37,-50,Ambivert,Balanced,Good,427
1822,62,Male,Sad,Focused mode,Nightmare,5,Never,3,Classical,43,61,2,10,8,3,Medium,Health,Low,59,-50,Ambivert,Right,Poor,857
4445,18,Female,Sad,Creativity burst,Nightmare,10,Weekly,8,Classical,63,65,1,7,8,5,Medium,Social Media,Low,73,300,Extrovert,Right,Poor,727
7171,42,Female,Excited,Focused mode,Abstract,5,Daily,7,Pop,36,85,9,8,6,8,Medium,Work,High,37,-50,Extrovert,Left,Poor,476
9770,24,Female,Angry,Focused mode,Abstract,6,Never,3,Lo-fi,21,77,8,3,6,13,Low,Health,Medium,65,500,Ambivert,Left,Poor,914
8754,26,Male,Sad,Work stress,Forgotten,3,Weekly,9,Pop,32,18,5,6,8,13,Medium,Social Media,High,68,-50,Ambivert,Left,Average,189
7234,41,Non-binary,Angry,Work stress,Forgotten,5,Never,2,Pop,50,32,2,10,10,8,High,Relationships,High,14,50,Ambivert,Left,Good,907
8620,18,Female,Anxious,Work stress,Abstract,9,Daily,3,Rock,47,72,1,6,9,6,High,Health,Low,63,500,Extrovert,Left,Average,141
1599,61,Female,Happy,Random nostalgia,Forgotten,7,Daily,2,Rock,79,70,7,1,5,5,Medium,Social Media,Low,53,0,Ambivert,Balanced,Average,134
3331,25,Male,Angry,Focused mode,Abstract,9,Weekly,1,Lo-fi,46,49,2,6,1,13,Medium,Work,Low,51,0,Extrovert,Right,Average,593
3071,41,Female,Angry,Existential crisis,Nightmare,7,Never,4,Metal,34,53,1,3,1,2,High,Health,Medium,81,200,Introvert,Balanced,Good,652
3893,28,Male,,Creativity burst,Nightmare,8,Weekly,5,Rock,98,95,2,3,2,9,Medium,Social Media,Medium,66,0,Introvert,Right,Poor,952
4127,68,Non-binary,Sad,Random nostalgia,Lucid,6,Daily,6,Metal,52,33,7,3,10,1,Low,Health,High,56,400,Introvert,Balanced,Poor,223
1896,34,Male,Sad,Existential crisis,Nightmare,3,Daily,5,Classical,39,60,7,10,10,11,Medium,Work,Medium,85,500,Ambivert,Balanced,Good,156
5950,25,Male,Sad,Focused mode,Abstract,9,Never,1,Rock,61,67,10,10,5,2,Low,Health,Low,34,400,Extrovert,Balanced,Good,905
8599,52,Male,Anxious,Work stress,Forgotten,3,Never,3,Rock,31,99,6,8,4,13,Low,Health,Medium,53,400,Ambivert,Left,Poor,555
7765,52,Male,Sad,Focused mode,Lucid,9,Never,1,Lo-fi,92,42,5,5,1,1,Low,Social Media,Medium,24,50,Extrovert,Right,Average,334
1726,50,Non-binary,Angry,Creativity burst,Forgotten,8,Weekly,5,Metal,42,25,3,4,4,12,Medium,Finance,Medium,60,50,Ambivert,Left,Poor,707
5749,22,Non-binary,Anxious,Random nostalgia,Abstract,7,Never,5,Rock,91,31,3,9,4,4,Low,Health,Medium,62,100,Introvert,Left,Good,491
4727,59,Female,Anxious,Random nostalgia,Nightmare,4,Never,6,Rock,33,66,9,9,10,4,Low,Finance,Low,43,500,Extrovert,Balanced,Poor,591
8416,56,Non-binary,Angry,Creativity burst,Lucid,6,Daily,8,Lo-fi,44,71,4,1,4,5,Medium,Relationships,Low,86,400,Ambivert,Right,Poor,930
9315,58,Non-binary,Excited,Existential crisis,Abstract,9,Daily,10,Lo-fi,96,91,9,2,1,5,Low,Health,High,17,400,Extrovert,Right,Poor,442
3587,45,Female,Angry,Existential crisis,Lucid,9,Never,1,Metal,50,80,4,8,9,8,Medium,Finance,High,86,0,Extrovert,Right,Good,743
7520,24,Non-binary,Angry,Random nostalgia,Lucid,8,Never,4,Classical,73,99,2,5,3,11,High,Relationships,High,79,300,Ambivert,Right,Good,275
1706,26,Male,Happy,Random nostalgia,Nightmare,6,Daily,10,Classical,24,81,4,7,4,11,Low,Social Media,Medium,30,500,Ambivert,Left,Poor,151
1724,25,Male,,Work stress,Abstract,7,Never,1,Pop,32,79,6,1,,3,Medium,Health,Medium,16,300,Extrovert,Left,Poor,649
8413,29,Female,Happy,Existential crisis,Forgotten,7,Weekly,9,Rock,47,39,6,10,7,6,High,Social Media,Low,88,500,Extrovert,Right,Average,577
2360,51,Female,Sad,Creativity burst,Lucid,9,Weekly,7,Metal,62,32,5,5,6,12,Low,Relationships,High,65,500,Introvert,Left,Average,588
1388,50,Female,Happy,Existential crisis,Lucid,4,Weekly,7,Rock,66,41,1,3,5,13,Low,Social Media,Low,58,200,Extrovert,Right,Poor,954
9869,65,Male,Anxious,Work stress,Forgotten,4,Never,5,Metal,90,95,3,10,8,12,Medium,Social Media,High,51,100,Introvert,Left,Good,104
1509,40,Non-binary,Sad,Random nostalgia,Abstract,3,Daily,7,Metal,57,66,5,2,1,3,High,Work,High,32,300,Introvert,Balanced,Average,824
2869,41,Male,Happy,Random nostalgia,Lucid,6,Never,2,Metal,86,18,6,2,7,13,Medium,Relationships,High,61,200,Introvert,Balanced,Poor,731
6725,54,Female,Happy,Work stress,Lucid,6,Never,4,Rock,81,40,1,9,6,2,Low,Social Media,Medium,88,0,Extrovert,Right,Average,937
1155,52,Non-binary,Happy,Creativity burst,Lucid,7,Daily,7,Lo-fi,58,80,9,4,5,8,Low,Finance,High,62,100,Introvert,Right,Average,980
5244,61,Non-binary,Angry,Random nostalgia,Abstract,3,Daily,3,Rock,56,18,3,4,7,1,Low,Relationships,High,25,100,Extrovert,Left,Average,308
4134,57,Male,Anxious,Focused mode,Abstract,8,Daily,2,Metal,27,22,10,7,3,9,Low,Work,Medium,46,400,Extrovert,Right,Good,316
7785,39,Female,Sad,Random nostalgia,Forgotten,6,Weekly,10,Pop,100,67,3,10,1,11,High,Health,High,27,500,Ambivert,Right,Poor,635
2106,44,Male,Angry,Focused mode,Abstract,3,Never,2,Classical,71,12,2,10,9,7,High,Social Media,Medium,29,-50,Extrovert,Left,Good,441
4974,52,Non-binary,Anxious,Work stress,Abstract,3,Daily,1,Metal,52,44,8,2,2,12,Medium,Finance,Medium,55,500,Extrovert,Right,Good,816
7227,18,Male,Happy,Work stress,Nightmare,9,Never,5,Pop,100,30,3,3,10,10,Medium,Work,Low,11,50,Introvert,Right,Average,500
9119,52,Male,Sad,Random nostalgia,Forgotten,7,Weekly,6,Lo-fi,61,73,6,3,3,13,Medium,Relationships,Medium,72,500,Extrovert,Balanced,Poor,561
5254,54,Female,,Existential crisis,Lucid,3,Weekly,6,Metal,95,61,2,6,8,12,Low,Social Media,Medium,12,500,Extrovert,Balanced,Average,837
2574,64,Female,Angry,Focused mode,Abstract,10,Daily,9,Pop,46,43,7,3,10,11,Medium,Work,Medium,55,500,Ambivert,Balanced,Good,829
8365,31,Non-binary,Sad,Creativity burst,Lucid,4,Daily,4,Metal,27,44,4,5,9,4,High,Work,High,58,400,Ambivert,Right,Good,310
6293,20,Male,Angry,Random nostalgia,Lucid,10,Never,1,Rock,42,24,9,4,3,3,Medium,Finance,Low,10,0,Introvert,Left,Poor,125
9442,18,Male,Sad,Creativity burst,Nightmare,4,Daily,6,Pop,83,15,10,3,6,6,Medium,Health,High,31,500,Introvert,Balanced,Good,351
5075,22,Male,Angry,Random nostalgia,Abstract,5,Never,5,Rock,39,94,9,8,7,9,High,Health,Medium,23,-50,Ambivert,Right,Good,102
2861,43,Non-binary,Happy,Existential crisis,Forgotten,7,Daily,10,Rock,35,41,7,10,1,9,High,Health,Medium,54,400,Ambivert,Balanced,Poor,101
1613,31,Non-binary,Happy,Existential crisis,Abstract,9,Never,6,Pop,36,61,8,3,7,4,Low,Relationships,Low,15,-50,Extrovert,Left,Average,703
6571,56,Female,Happy,Existential crisis,Lucid,8,Never,3,Classical,99,92,3,6,4,10,High,Work,Low,74,100,Introvert,Left,Poor,101
5490,44,Female,,Existential crisis,Forgotten,10,Never,2,Pop,38,37,5,7,5,5,High,Relationships,Medium,30,400,Introvert,Left,Good,249
2524,26,Female,Anxious,Work stress,Abstract,10,Never,6,Classical,27,94,2,7,8,11,Medium,Work,Medium,13,500,Extrovert,Left,Poor,682
8401,32,Male,Happy,Work stress,Lucid,5,Weekly,1,Metal,57,73,10,2,4,13,High,Finance,High,12,200,Extrovert,Left,Average,103
7192,32,Male,Happy,Focused mode,Lucid,4,Never,7,Metal,57,88,7,3,4,9,Low,Finance,Medium,39,400,Introvert,Left,Good,596
5628,43,Female,Anxious,Creativity burst,Nightmare,9,Daily,7,Pop,72,87,8,10,8,2,Medium,Relationships,High,40,300,Ambivert,Right,Average,649
2275,59,Male,Happy,Random nostalgia,Nightmare,5,Weekly,10,Metal,50,28,9,10,5,2,Low,Relationships,Low,43,0,Ambivert,Balanced,Average,970
6845,30,Female,Sad,Random nostalgia,Nightmare,7,Weekly,7,Lo-fi,63,24,7,4,6,5,High,Finance,High,29,0,Extrovert,Left,Poor,567
2529,68,Non-binary,,Work stress,Lucid,9,Never,10,Rock,79,15,10,7,5,1,Low,Social Media,Medium,63,100,Introvert,Balanced,Average,169
5801,49,Female,Sad,Random nostalgia,Abstract,7,Weekly,1,Rock,95,82,10,2,1,8,Low,Health,High,34,400,Extrovert,Balanced,Poor,300
7883,56,Non-binary,Anxious,Work stress,Nightmare,3,Never,4,Classical,36,93,8,3,7,5,High,Health,High,24,-50,Ambivert,Right,Poor,407
3434,66,Male,,Focused mode,Abstract,6,Daily,7,Metal,98,47,9,7,6,12,High,Finance,Low,47,-50,Ambivert,Left,Average,351
8470,69,Female,Sad,Creativity burst,Nightmare,3,Never,9,Classical,92,35,6,7,2,10,Medium,Health,High,32,100,Extrovert,Left,Poor,386
9819,49,Male,Happy,Focused mode,Forgotten,7,Weekly,5,Rock,58,91,10,10,7,2,Medium,Social Media,Medium,61,100,Ambivert,Right,Poor,391
3564,21,Non-binary,Sad,Existential crisis,Forgotten,10,Daily,2,Rock,61,60,2,3,6,12,Medium,Social Media,High,75,200,Introvert,Right,Average,253
4800,47,Non-binary,Excited,Existential crisis,Nightmare,9,Never,7,Metal,67,82,2,1,5,9,High,Work,High,66,50,Extrovert,Right,Good,232
8452,54,Non-binary,Excited,Existential crisis,Lucid,4,Daily,10,Lo-fi,31,62,4,3,8,2,Low,Relationships,High,66,100,Extrovert,Right,Poor,982
1796,40,Male,Anxious,Focused mode,Nightmare,8,Daily,1,Lo-fi,37,65,9,5,5,7,Low,Health,Medium,88,50,Extrovert,Right,Poor,685
1347,56,Male,Happy,Random nostalgia,Nightmare,4,Weekly,7,Metal,98,68,7,7,2,8,Medium,Social Media,High,61,-50,Ambivert,Balanced,Average,373
7109,62,Male,Anxious,Creativity burst,Lucid,9,Daily,6,Metal,25,79,2,4,6,14,Medium,Relationships,Medium,44,50,Introvert,Right,Poor,882
3194,32,Male,,Existential crisis,Forgotten,3,Weekly,7,Classical,62,87,8,1,1,6,High,Relationships,High,83,0,Extrovert,Left,Average,796
8941,60,Non-binary,Anxious,Existential crisis,Abstract,8,Daily,10,Metal,54,67,7,6,5,14,Low,Work,Low,23,-50,Extrovert,Left,Good,608
7131,46,Non-binary,,Existential crisis,Nightmare,9,Never,3,Lo-fi,73,97,9,2,6,11,Medium,Relationships,Low,23,300,Ambivert,Right,Good,452
5132,53,Female,Excited,Creativity burst,Lucid,7,Daily,3,Metal,81,22,8,3,7,7,High,Relationships,Low,42,-50,Introvert,Right,Average,104
7462,30,Female,Anxious,Existential crisis,Nightmare,10,Never,7,Classical,88,52,3,4,2,11,Medium,Finance,Medium,61,300,Extrovert,Right,Good,392
